"customer_id","recency","frequency","monetary","rfm_score","r_score","f_score","m_score","total_score","rfm_segmenting"
"5114","1","14","965","534",5,3,4,12,"Potential Loyalist"
"9595","1","13","1574","535",5,3,5,13,"Big Spender"
"1402","1","18","1253","545",5,4,5,14,"Loyalist"
"10141","1","3","20","511",5,1,1,7,"New Customer"
"1524","1","15","1104","544",5,4,4,13,"Loyalist"
"5794","1","15","446","543",5,4,3,12,"Loyalist"
"5824","1","3","8","511",5,1,1,7,"New Customer"
"115","0","14","393","533",5,3,3,11,"Potential Loyalist"
"5430","0","19","684","544",5,4,4,13,"Loyalist"
"10476","0","10","251","533",5,3,3,11,"Potential Loyalist"
"1386","0","3","11","511",5,1,1,7,"New Customer"
"4047","0","17","544","543",5,4,3,12,"Loyalist"
"10470","0","6","92","522",5,2,2,9,"Potential Loyalist"
"1991","0","6","96","522",5,2,2,9,"Potential Loyalist"
"2795","0","3","13","511",5,1,1,7,"New Customer"
"10311","0","25","359","553",5,5,3,13,"Loyalist"
"10175","0","4","22","511",5,1,1,7,"New Customer"
"1826","0","14","1190","535",5,3,5,13,"Big Spender"
"2964","0","4","72","512",5,1,2,8,"New Customer"
"1","0","17","577","543",5,4,3,12,"Loyalist"
"10530","0","15","1156","544",5,4,4,13,"Loyalist"
"2285","0","12","335","533",5,3,3,11,"Potential Loyalist"
"9477","0","17","544","543",5,4,3,12,"Loyalist"
"5985","0","7","122","522",5,2,2,9,"Potential Loyalist"
"7348","0","16","1192","545",5,4,5,14,"Loyalist"
"5642","0","10","222","533",5,3,3,11,"Potential Loyalist"
"2079","0","21","1208","555",5,5,5,15,"Loyalist"
"5371","0","6","91","522",5,2,2,9,"Potential Loyalist"
"10968","0","22","704","554",5,5,4,14,"Loyalist"
"1473","0","5","72","522",5,2,2,9,"Potential Loyalist"
"837","0","8","174","522",5,2,2,9,"Potential Loyalist"
"8432","0","19","684","544",5,4,4,13,"Loyalist"
"4073","0","27","1215","555",5,5,5,15,"Loyalist"
"10521","0","8","174","522",5,2,2,9,"Potential Loyalist"
"4065","0","14","404","533",5,3,3,11,"Potential Loyalist"
